"drug1_synonym","drug2_synonym","filename","plate_row","plate_col","position_id","plate_row_letter","drug1_name","drug1_conc","drug2_name","drug2_conc","units","combo_id","Plate Barcode","sample_name","Amount","plate_type","nth_conc","failed_transfer","replicate","raw_val","zprime","robust_zprime","replicate_perc_cell_death","perc_cell_death","single_effect_drug1","single_effect_drug2","bliss_exp","bliss_synergy","loewe_synergy","single_agent_sd","flagged_sd","prev_val_low_to_high","delta_val_low_to_high","prev_val_high_to_low","delta_val_high_to_low","flagged_mono","nearest_dose","nearest_pred","abs_res","flagged_resid","flagged_final","mean_syn","median_syn","max_syn","second_max_syn","mean_syn_adj","median_syn_adj","max_syn_adj","second_max_syn_adj","mean_syn_diag","median_syn_diag","max_syn_diag","second_max_syn_diag","mean_syn_diag_adj","median_syn_diag_adj","max_syn_diag_adj","second_max_syn_diag_adj","mean_perc_cell_death","num_flagged_diag","moran_i","moran_i_STND"
"APREMILAST",NA,"ASY06230218.csv",2,45,130,"B","SJ000855492",25,NA,NA,"uM","SJ000855492_NA","ASY06230218","CHP134.CSV",20,"single_agent",1,0,1,50645,0.662206292656549,0.535166809186103,-27.5275864717479,-4.89161504445793,-4.89161504445793,0,-4.89161504445794,0,NA,17.5818496775844,0,22.681324493082,-27.5729395375399,NA,NA,1,25,4.88970077676035,9.78131582121829,0,1,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"APREMILAST",NA,"ASY06230218.csv",5,45,130,"E","SJ000855492",8.333333,NA,NA,"uM","SJ000855492_NA","ASY06230218","CHP134.CSV",20,"single_agent",2,0,1,58177,0.662206292656549,0.535166809186103,-46.8112342865921,22.681324493082,22.681324493082,0,22.681324493082,0,NA,35.8573269744365,1,-5.74885765427051,28.4301821473525,-4.89161504445793,27.5729395375399,1,8.33323740299028,4.74580687548121,17.9355176176008,1,1,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"APREMILAST",NA,"ASY06230218.csv",8,45,130,"H","SJ000855492",2.777778,NA,NA,"uM","SJ000855492_NA","ASY06230218","CHP134.CSV",20,"single_agent",3,0,1,63266,0.662206292656549,0.535166809186103,-59.840241685655,-5.74885765427051,-5.74885765427051,0,-5.74885765427051,0,NA,42.5053251210531,1,9.52261388763754,-15.271471541908,22.681324493082,-28.4301821473525,0,2.77771382458384,4.60238155563915,10.3512392099097,0,1,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",2,36,103,"B","SJ000821571",25,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",1,0,1,20869,0.662206292656549,0.535166809186103,48.705804040042,54.1332412064193,0,54.1332412064193,54.1332412064193,0,NA,4.82424745348342,0,62.6220573489706,-8.48881614255124,NA,NA,0,25,58.5653365514616,4.43209534504229,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",5,36,103,"E","SJ000821571",8.333333,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",2,0,1,15745,0.662206292656549,0.535166809186103,61.8244194679843,62.6220573489706,0,62.6220573489706,62.6220573489706,0,NA,5.41776177643329,0,52.9665086843642,9.65554866460636,54.1332412064193,8.48881614255124,0,8.33323740299028,58.0169041359345,4.60515321303605,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",8,36,103,"H","SJ000821571",2.777778,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",3,0,1,16958,0.662206292656549,0.535166809186103,58.7188612099644,52.9665086843642,0,52.9665086843642,52.9665086843642,0,NA,16.2408486028047,0,28.3111932865846,24.6553153977796,62.6220573489706,-9.65554866460636,0,2.77771382458384,52.9146612017261,0.0518474826381166,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",11,36,103,"K","SJ000821571",0.925926,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",4,0,1,28862,0.662206292656549,0.535166809186103,28.2418904733864,28.3111932865846,0,28.3111932865846,28.3111932865846,0,NA,4.08900893114608,0,10.8395341166769,17.4716591699077,52.9665086843642,-24.6553153977796,0,0.925893949513007,28.9627080285459,0.651514741961275,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"APREMILAST",NA,"ASY06230218.csv",11,45,130,"K","SJ000855492",0.925926,NA,NA,"uM","SJ000855492_NA","ASY06230218","CHP134.CSV",20,"single_agent",4,0,1,37232,0.662206292656549,0.535166809186103,6.81277042423001,9.52261388763754,9.52261388763754,0,9.52261388763753,0,NA,9.22711142236616,0,4.83527660695472,4.68733728068282,-5.74885765427051,15.271471541908,0,0.925893949513007,4.45942432767841,5.06318955995913,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"APREMILAST",NA,"ASY06230218.csv",14,45,130,"N","SJ000855492",0.308642,NA,NA,"uM","SJ000855492_NA","ASY06230218","CHP134.CSV",20,"single_agent",5,0,1,42328,0.662206292656549,0.535166809186103,-6.23415858060882,4.83527660695472,4.83527660695472,0,4.83527660695472,0,NA,9.34033030461634,0,3.22187330828392,1.61340329867079,9.52261388763754,-4.68733728068282,0,0.308627763651367,4.31693469349415,0.518341913460567,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"APREMILAST",NA,"ASY06230218.csv",17,45,130,"Q","SJ000855492",0.102881,NA,NA,"uM","SJ000855492_NA","ASY06230218","CHP134.CSV",20,"single_agent",6,0,1,34079,0.662206292656549,0.535166809186103,14.8851737115646,3.22187330828392,3.22187330828392,0,3.22187330828392,0,NA,16.0029416070509,0,-0.204726431702072,3.426599739986,4.83527660695472,-1.61340329867079,0,0.102874736946432,4.17491214650788,0.953038838223958,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",23,36,103,"W","SJ000821571",0.011431,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",8,0,1,41097,0.662206292656549,0.535166809186103,-3.08251619345093,8.38655427752855,0,8.38655427752855,8.38655427752855,0,NA,7.47412072016416,0,4.63171206495544,3.75484221257311,8.32507300227417,0.0614812752543781,0,0.0114302631606612,5.06985374363553,3.31670053389302,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",14,36,103,"N","SJ000821571",0.308642,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",5,0,1,43476,0.662206292656549,0.535166809186103,-9.17330192785274,10.8395341166769,0,10.8395341166769,10.8395341166769,0,NA,10.8602706366604,0,2.56264147674819,8.27689263992867,28.3111932865846,-17.4716591699077,0,0.308627763651367,8.91608838236237,1.92344573431448,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",17,36,103,"Q","SJ000821571",0.102881,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",6,0,1,40757,0.662206292656549,0.535166809186103,-2.2120381986226,2.56264147674819,0,2.56264147674819,2.56264147674818,0,NA,8.96964926182124,0,8.32507300227417,-5.76243152552599,10.8395341166769,-8.27689263992867,0,0.102874736946432,5.46200012413234,2.89935864738415,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",20,36,103,"T","SJ000821571",0.034294,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",7,0,1,40933,0.662206292656549,0.535166809186103,-2.66263857241609,8.32507300227417,0,8.32507300227417,8.32507300227417,0,NA,11.3441126879242,0,8.38655427752855,-0.0614812752543781,2.56264147674819,5.76243152552599,0,0.0342911842297918,5.10447781490299,3.22059518737118,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"APREMILAST",NA,"ASY06230218.csv",20,45,130,"T","SJ000855492",0.034294,NA,NA,"uM","SJ000855492_NA","ASY06230218","CHP134.CSV",20,"single_agent",7,0,1,39825,0.662206292656549,0.535166809186103,0.174095598965667,-0.204726431702072,-0.204726431702072,0,-0.20472643170207,0,NA,6.92001267374543,0,3.32714700232357,-3.53187343402564,3.22187330828392,-3.426599739986,0,0.0342911842297918,4.03335617174283,4.2380826034449,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",26,36,103,"Z","SJ000821571",0.00381,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",9,0,1,44738,0.662206292656549,0.535166809186103,-12.4043114263038,4.63171206495544,0,4.63171206495544,4.63171206495545,0,NA,14.415338939814,0,0.3687484531847,4.26296361177074,8.38655427752855,-3.75484221257311,0,0.00381004385985775,5.0665227850618,0.434810720106359,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",29,36,103,"AC","SJ000821571",0.00127,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",10,0,1,40472,0.662206292656549,0.535166809186103,-1.48237282060473,0.3687484531847,0,0.3687484531847,0.368748453184693,0,NA,8.55381124706989,0,NA,NA,4.63171206495544,-4.26296361177074,0,0.00127,5.06620254028453,4.69745408709983,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"APREMILAST",NA,"ASY06230218.csv",29,45,130,"AC","SJ000855492",0.00127,NA,NA,"uM","SJ000855492_NA","ASY06230218","CHP134.CSV",20,"single_agent",10,0,1,36285,0.662206292656549,0.535166809186103,9.23730766276658,3.34738516396994,3.34738516396994,0,3.34738516396993,0,NA,7.23805884710642,0,NA,NA,6.38909876468167,-3.04171360071173,0,0.00127,3.61148240661445,0.26409724264451,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"APREMILAST",NA,"ASY06230218.csv",23,45,130,"W","SJ000855492",0.011431,NA,NA,"uM","SJ000855492_NA","ASY06230218","CHP134.CSV",20,"single_agent",8,0,1,39127,0.662206292656549,0.535166809186103,1.96113571776031,3.32714700232357,3.32714700232357,0,3.32714700232356,0,NA,11.7883493977843,0,6.38909876468167,-3.0619517623581,-0.204726431702072,3.53187343402564,0,0.0114302631606612,3.89226624589928,0.565119243575713,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"APREMILAST",NA,"ASY06230218.csv",26,45,130,"Z","SJ000855492",0.00381,NA,NA,"uM","SJ000855492_NA","ASY06230218","CHP134.CSV",20,"single_agent",9,0,1,46473,0.662206292656549,0.535166809186103,-16.8463094293249,6.38909876468167,6.38909876468167,0,6.38909876468168,0,NA,12.8475562123981,0,3.34738516396994,3.04171360071173,3.32714700232357,3.0619517623581,0,0.00381004385985775,3.75164183742981,2.63745692725186,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
